years_after_graduation,section_name,sic_name,sex,number_of_graduates,median_earnings
3,Financial and insurance activities,Fund management activities,Female,265,44200.0
3,Financial and insurance activities,Fund management activities,Male,470,53300.0
3,Human health and social work activities,Hospital activities,Female,19550,31000.0
3,Human health and social work activities,Hospital activities,Male,5000,37200.0
3,Human health and social work activities,General medical practice activities,Female,1040,23700.0
3,Human health and social work activities,General medical practice activities,Male,200,26300.0
3,Human health and social work activities,Specialists medical practice activities,Female,115,23400.0
3,Human health and social work activities,Specialists medical practice activities,Male,45,24100.0
3,Human health and social work activities,Dental practice activities,Female,205,19700.0
3,Human health and social work activities,Dental practice activities,Male,45,23500.0
3,Human health and social work activities,Other human health activities,Female,4335,28100.0
3,Human health and social work activities,Other human health activities,Male,1380,29900.0
3,Human health and social work activities,Residential nursing care facilities,Female,440,22600.0
3,Human health and social work activities,Residential nursing care facilities,Male,130,22800.0
3,Human health and social work activities,"Residential care activities for learning difficulties, mental health and substance abuse",Female,155,21900.0
3,Human health and social work activities,"Residential care activities for learning difficulties, mental health and substance abuse",Male,65,24200.0
3,Human health and social work activities,Residential care activities for the elderly and disabled,Female,590,20400.0
3,Human health and social work activities,Residential care activities for the elderly and disabled,Male,160,21900.0
3,Human health and social work activities,Other residential care activities n.e.c.,Female,1430,22600.0
3,Human health and social work activities,Other residential care activities n.e.c.,Male,430,23000.0
3,Human health and social work activities,Social work activities without accommodation for the elderly and disabled,Female,925,20800.0
3,Human health and social work activities,Social work activities without accommodation for the elderly and disabled,Male,225,21200.0
3,Human health and social work activities,Child day-care activities,Female,1430,18200.0
3,Human health and social work activities,Child day-care activities,Male,105,20400.0
3,Human health and social work activities,Other social work activities without accommodation n.e.c.,Female,2355,23400.0
3,Human health and social work activities,Other social work activities without accommodation n.e.c.,Male,575,23000.0
3,Information and communication,Book publishing,Female,370,26300.0
3,Information and communication,Book publishing,Male,115,26300.0
3,Information and communication,Publishing of newspapers,Female,220,26800.0
3,Information and communication,Publishing of newspapers,Male,180,27000.0
3,Information and communication,Publishing of learned journals,Female,40,28800.0
3,Information and communication,Publishing of learned journals,Male,30,38000.0
3,Information and communication,Publishing of  consumer and business journals and periodicals,Female,360,25600.0
3,Information and communication,Publishing of  consumer and business journals and periodicals,Male,195,26300.0
3,Information and communication,Other publishing activities,Female,210,25700.0
3,Information and communication,Other publishing activities,Male,155,27700.0
3,Information and communication,Publishing of computer games,Female,15,25600.0
3,Information and communication,Publishing of computer games,Male,40,23700.0
3,Information and communication,Other software publishing,Female,80,29200.0
3,Information and communication,Other software publishing,Male,185,35800.0
3,Information and communication,Motion picture production activities,Female,255,29200.0
3,Information and communication,Motion picture production activities,Male,215,30000.0
3,Information and communication,Video production activities,Female,85,24200.0
3,Information and communication,Video production activities,Male,120,24100.0
3,Information and communication,Television programme production activities,Female,530,31000.0
3,Information and communication,Television programme production activities,Male,375,29200.0
3,Information and communication,"Motion picture, video and television programme post-production activities",Female,85,24800.0
3,Information and communication,"Motion picture, video and television programme post-production activities",Male,120,24800.0
3,Information and communication,Motion picture distribution activities,Female,55,33000.0
3,Information and communication,Motion picture distribution activities,Male,30,28100.0
3,Information and communication,Motion picture projection activities,Female,105,15000.0
3,Information and communication,Motion picture projection activities,Male,160,13100.0
3,Information and communication,Sound recording and music publishing activities,Female,75,25700.0
3,Information and communication,Sound recording and music publishing activities,Male,95,24800.0
3,Information and communication,Radio broadcasting,Female,45,26600.0
3,Information and communication,Radio broadcasting,Male,45,27700.0
3,Information and communication,Television programming and broadcasting activities,Female,340,30700.0
3,Information and communication,Television programming and broadcasting activities,Male,335,33900.0
3,Information and communication,Wired telecommunications activities,Female,25,23400.0
3,Information and communication,Wired telecommunications activities,Male,45,27000.0
3,Information and communication,Wireless telecommunications activities,Female,120,38100.0
3,Information and communication,Wireless telecommunications activities,Male,160,37600.0
3,Information and communication,Satellite telecommunications activities,Female,35,23900.0
3,Information and communication,Satellite telecommunications activities,Male,65,24300.0
3,Information and communication,Other telecommunications activities,Female,415,26500.0
3,Information and communication,Other telecommunications activities,Male,740,30700.0
3,Information and communication,Ready-made interactive leisure and entertainment software development,Female,105,29900.0
3,Information and communication,Ready-made interactive leisure and entertainment software development,Male,400,28100.0
3,Information and communication,Business and domestic software development,Female,895,30300.0
3,Information and communication,Business and domestic software development,Male,2055,34700.0
3,Information and communication,Information technology consultancy activities,Female,1220,32100.0
3,Information and communication,Information technology consultancy activities,Male,2710,34700.0
3,Information and communication,Other information technology service activities,Female,650,30700.0
3,Information and communication,Other information technology service activities,Male,1185,35400.0
3,Information and communication,"Data processing, hosting and related activities",Female,190,29200.0
3,Information and communication,"Data processing, hosting and related activities",Male,300,31600.0
3,Information and communication,Web portals,Female,160,32300.0
3,Information and communication,Web portals,Male,170,35800.0
3,Information and communication,News agency activities,Female,40,43100.0
3,Information and communication,News agency activities,Male,60,48500.0
3,Information and communication,Other information service activities n.e.c.,Female,85,28100.0
3,Information and communication,Other information service activities n.e.c.,Male,100,33200.0
3,Manufacturing,Processing and preserving of poultry meat,Female,15,24800.0
3,Manufacturing,Processing and preserving of poultry meat,Male,20,26100.0
3,Manufacturing,Production of meat and poultry meat products,Female,25,26600.0
3,Manufacturing,Production of meat and poultry meat products,Male,15,23700.0
3,Manufacturing,Other processing and preserving of fruit and vegetables,Female,25,27000.0
3,Manufacturing,Other processing and preserving of fruit and vegetables,Male,25,31400.0
3,Manufacturing,Manufacture of bread; manufacture of fresh pastry goods and cakes,Female,110,25200.0
3,Manufacturing,Manufacture of bread; manufacture of fresh pastry goods and cakes,Male,80,23500.0
3,Manufacturing,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Female,25,27400.0
3,Manufacturing,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Male,20,29200.0
3,Manufacturing,Manufacture of cocoa and chocolate confectionery,Female,70,32300.0
3,Manufacturing,Manufacture of cocoa and chocolate confectionery,Male,40,32500.0
3,Manufacturing,Manufacture of prepared meals and dishes,Female,55,28800.0
3,Manufacturing,Manufacture of prepared meals and dishes,Male,35,28800.0
3,Manufacturing,Manufacture of other food products n.e.c.,Female,70,27600.0
3,Manufacturing,Manufacture of other food products n.e.c.,Male,40,27600.0
3,Manufacturing,"Distilling, rectifying and blending of spirits",Female,25,36500.0
3,Manufacturing,"Distilling, rectifying and blending of spirits",Male,20,33200.0
3,Manufacturing,Manufacture of beer,Female,45,23500.0
3,Manufacturing,Manufacture of beer,Male,80,26800.0
3,Manufacturing,Manufacture of soft drinks; production of mineral waters and other bottled waters,Female,30,30700.0
3,Manufacturing,Manufacture of soft drinks; production of mineral waters and other bottled waters,Male,25,29000.0
3,Manufacturing,Manufacture of other builders' carpentry and joinery,Female,20,21900.0
3,Manufacturing,Manufacture of other builders' carpentry and joinery,Male,45,24100.0
3,Manufacturing,Manufacture of other paper and paperboard containers,Female,20,25900.0
3,Manufacturing,Manufacture of other paper and paperboard containers,Male,30,27700.0
3,Manufacturing,Printing n.e.c.,Female,95,21900.0
3,Manufacturing,Printing n.e.c.,Male,100,23200.0
3,Manufacturing,Pre-press and pre-media services,Female,25,21900.0
3,Manufacturing,Pre-press and pre-media services,Male,25,24800.0
3,Manufacturing,"Manufacture of paints, varnishes and similar coatings, mastics and sealants",Female,25,25200.0
3,Manufacturing,"Manufacture of paints, varnishes and similar coatings, mastics and sealants",Male,15,26600.0
3,Manufacturing,Manufacture of soap and detergents,Female,30,34700.0
3,Manufacturing,Manufacture of soap and detergents,Male,25,35000.0
3,Manufacturing,Manufacture of perfumes and toilet preparations,Female,60,25200.0
3,Manufacturing,Manufacture of perfumes and toilet preparations,Male,20,24100.0
3,Manufacturing,Manufacture of other chemical products n.e.c.,Female,80,29700.0
3,Manufacturing,Manufacture of other chemical products n.e.c.,Male,90,29600.0
3,Manufacturing,Manufacture of basic pharmaceutical products,Female,55,29900.0
3,Manufacturing,Manufacture of basic pharmaceutical products,Male,55,32100.0
3,Manufacturing,Manufacture of pharmaceutical preparations,Female,280,31800.0
3,Manufacturing,Manufacture of pharmaceutical preparations,Male,220,33000.0
3,Manufacturing,"Manufacture of plastic plates, sheets, tubes and profiles",Female,15,27400.0
3,Manufacturing,"Manufacture of plastic plates, sheets, tubes and profiles",Male,35,27700.0
3,Manufacturing,Manufacture of builders  ware of plastic,Female,30,20800.0
3,Manufacturing,Manufacture of builders  ware of plastic,Male,45,25200.0
3,Manufacturing,Manufacture of other plastic products,Female,30,24100.0
3,Manufacturing,Manufacture of other plastic products,Male,75,26800.0
3,Manufacturing,Processing of nuclear fuel,Female,30,42000.0
3,Manufacturing,Processing of nuclear fuel,Male,70,43800.0
3,Manufacturing,Manufacture of metal structures and parts of structures,Female,30,24300.0
3,Manufacturing,Manufacture of metal structures and parts of structures,Male,85,29400.0
3,Manufacturing,Manufacture of weapons and ammunition,Female,60,32500.0
3,Manufacturing,Manufacture of weapons and ammunition,Male,140,35000.0
3,Manufacturing,Machining,Female,30,21700.0
3,Manufacturing,Machining,Male,115,28300.0
3,Manufacturing,Manufacture of other fabricated metal products n.e.c.,Female,20,23400.0
3,Manufacturing,Manufacture of other fabricated metal products n.e.c.,Male,65,28300.0
3,Manufacturing,"Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",Female,75,29600.0
3,Manufacturing,"Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",Male,290,32800.0
3,Manufacturing,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Female,45,36100.0
3,Manufacturing,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Male,130,37600.0
3,Manufacturing,Manufacture of lifting and handling equipment,Female,20,29000.0
3,Manufacturing,Manufacture of lifting and handling equipment,Male,90,31800.0
3,Manufacturing,Manufacture of non-domestic cooling and ventilation equipment,Female,20,27000.0
3,Manufacturing,Manufacture of non-domestic cooling and ventilation equipment,Male,55,29600.0
3,Manufacturing,Manufacture of other general-purpose machinery n.e.c.,Female,20,27600.0
3,Manufacturing,Manufacture of other general-purpose machinery n.e.c.,Male,55,31000.0
3,Manufacturing,Manufacture of motor vehicles,Female,95,38300.0
3,Manufacturing,Manufacture of motor vehicles,Male,280,42000.0
3,Manufacturing,Building of ships and floating structures,Female,55,35000.0
3,Manufacturing,Building of ships and floating structures,Male,190,34700.0
3,Manufacturing,Manufacture of air and spacecraft and related machinery,Female,120,36100.0
3,Manufacturing,Manufacture of air and spacecraft and related machinery,Male,515,37200.0
3,Manufacturing,Manufacture of office and shop furniture,Female,15,26600.0
3,Manufacturing,Manufacture of office and shop furniture,Male,25,24100.0
3,Manufacturing,Manufacture of kitchen furniture,Female,65,23400.0
3,Manufacturing,Manufacture of kitchen furniture,Male,65,24800.0
3,Manufacturing,Manufacture of other furniture,Female,40,20100.0
3,Manufacturing,Manufacture of other furniture,Male,55,23700.0
3,Manufacturing,Manufacture of medical and dental instruments and supplies,Female,115,28100.0
3,Manufacturing,Manufacture of medical and dental instruments and supplies,Male,145,31800.0
3,Manufacturing,Other manufacturing n.e.c.,Female,25,19300.0
3,Manufacturing,Other manufacturing n.e.c.,Male,45,29900.0
3,Manufacturing,Repair of machinery,Female,180,20600.0
3,Manufacturing,Repair of machinery,Male,230,23400.0
3,Manufacturing,Installation of industrial machinery and equipment,Female,20,22400.0
3,Manufacturing,Installation of industrial machinery and equipment,Male,55,34800.0
3,Other service activities,Activities of business and employers membership organizations,Female,105,25600.0
3,Other service activities,Activities of business and employers membership organizations,Male,60,28700.0
3,Other service activities,Activities of professional membership organizations,Female,245,27000.0
3,Other service activities,Activities of professional membership organizations,Male,120,27700.0
3,Other service activities,Activities of religious organizations,Female,220,20400.0
3,Other service activities,Activities of religious organizations,Male,165,21900.0
3,Other service activities,Activities of political organizations,Female,20,27700.0
3,Other service activities,Activities of political organizations,Male,20,27700.0
3,Other service activities,Activities of other membership organizations n.e.c.,Female,580,22300.0
3,Other service activities,Activities of other membership organizations n.e.c.,Male,285,21500.0
3,Other service activities,Repair of computers and peripheral equipment,Female,30,29900.0
3,Other service activities,Repair of computers and peripheral equipment,Male,80,31400.0
3,Other service activities,Hairdressing and other beauty treatment,Female,155,16100.0
3,Other service activities,Hairdressing and other beauty treatment,Male,30,14100.0
3,Other service activities,Funeral and related activities,Female,20,22600.0
3,Other service activities,Funeral and related activities,Male,15,23000.0
3,Other service activities,Physical well-being activities,Female,45,21000.0
3,Other service activities,Physical well-being activities,Male,25,19700.0
3,Other service activities,Other service activities n.e.c.,Female,325,21500.0
3,Other service activities,Other service activities n.e.c.,Male,210,24800.0
3,"Professional, scientific and technical activities",Solicitors,Female,2180,22600.0
3,"Professional, scientific and technical activities",Solicitors,Male,950,24500.0
3,"Professional, scientific and technical activities",Activities of patent and copyright agents; other legal activities n.e.c.,Female,840,27900.0
3,"Professional, scientific and technical activities",Activities of patent and copyright agents; other legal activities n.e.c.,Male,470,33200.0
3,"Professional, scientific and technical activities",Accounting and auditing activities,Female,1520,32500.0
3,"Professional, scientific and technical activities",Accounting and auditing activities,Male,1690,35000.0
3,"Professional, scientific and technical activities",Bookkeeping activities,Female,525,20400.0
3,"Professional, scientific and technical activities",Bookkeeping activities,Male,410,24100.0
3,"Professional, scientific and technical activities",Tax consultancy,Female,25,30300.0
3,"Professional, scientific and technical activities",Tax consultancy,Male,50,32100.0
3,"Professional, scientific and technical activities",Activities of head offices,Female,765,28800.0
3,"Professional, scientific and technical activities",Activities of head offices,Male,600,31400.0
3,"Professional, scientific and technical activities",Public relations and communications activities,Female,600,28100.0
3,"Professional, scientific and technical activities",Public relations and communications activities,Male,265,29200.0
3,"Professional, scientific and technical activities",Financial management,Female,140,30700.0
3,"Professional, scientific and technical activities",Financial management,Male,205,37000.0
3,"Professional, scientific and technical activities",Management consultancy activities other than financial management,Female,2105,29900.0
3,"Professional, scientific and technical activities",Management consultancy activities other than financial management,Male,2275,33900.0
3,"Professional, scientific and technical activities",Architectural activities,Female,195,24800.0
3,"Professional, scientific and technical activities",Architectural activities,Male,260,26600.0
3,"Professional, scientific and technical activities",Urban planning and landscape architectural activities,Female,65,26300.0
3,"Professional, scientific and technical activities",Urban planning and landscape architectural activities,Male,65,27700.0
3,"Professional, scientific and technical activities",Engineering design activities for industrial process and production,Female,100,29200.0
3,"Professional, scientific and technical activities",Engineering design activities for industrial process and production,Male,415,35400.0
3,"Professional, scientific and technical activities",Engineering related scientific and technical consulting activities,Female,270,26300.0
3,"Professional, scientific and technical activities",Engineering related scientific and technical consulting activities,Male,460,28800.0
3,"Professional, scientific and technical activities",Other engineering activities,Female,900,29200.0
3,"Professional, scientific and technical activities",Other engineering activities,Male,1910,31000.0
3,"Professional, scientific and technical activities",Technical testing and analysis,Female,240,23700.0
3,"Professional, scientific and technical activities",Technical testing and analysis,Male,310,25900.0
3,"Professional, scientific and technical activities",Research and experimental development on biotechnology,Female,130,30100.0
3,"Professional, scientific and technical activities",Research and experimental development on biotechnology,Male,85,32100.0
3,"Professional, scientific and technical activities",Other research and experimental development on natural sciences and engineering,Female,750,28800.0
3,"Professional, scientific and technical activities",Other research and experimental development on natural sciences and engineering,Male,830,32100.0
3,"Professional, scientific and technical activities",Research and experimental development on social sciences and humanities,Female,55,27000.0
3,"Professional, scientific and technical activities",Research and experimental development on social sciences and humanities,Male,55,28100.0
3,"Professional, scientific and technical activities",Advertising agencies,Female,1305,27700.0
3,"Professional, scientific and technical activities",Advertising agencies,Male,1050,28100.0
3,"Professional, scientific and technical activities",Media representation services,Female,280,27400.0
3,"Professional, scientific and technical activities",Media representation services,Male,250,27000.0
3,"Professional, scientific and technical activities",Market research and public opinion polling,Female,385,27700.0
3,"Professional, scientific and technical activities",Market research and public opinion polling,Male,280,29600.0
3,"Professional, scientific and technical activities",specialised design activities,Female,385,24800.0
3,"Professional, scientific and technical activities",specialised design activities,Male,265,26600.0
3,"Professional, scientific and technical activities",Photographic activities not elsewhere classified,Female,55,22600.0
3,"Professional, scientific and technical activities",Photographic activities not elsewhere classified,Male,30,24500.0
3,"Professional, scientific and technical activities",Translation and interpretation activities,Female,80,24800.0
3,"Professional, scientific and technical activities",Translation and interpretation activities,Male,40,24800.0
3,"Professional, scientific and technical activities",Environmental consulting activities,Female,115,25600.0
3,"Professional, scientific and technical activities",Environmental consulting activities,Male,115,27700.0
3,"Professional, scientific and technical activities",Quantity surveying activities,Female,30,31000.0
3,"Professional, scientific and technical activities",Quantity surveying activities,Male,105,34700.0
3,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",Female,375,25600.0
3,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",Male,355,28100.0
3,"Professional, scientific and technical activities",Veterinary activities,Female,810,30000.0
3,"Professional, scientific and technical activities",Veterinary activities,Male,130,35200.0
3,Public administration and defence - compulsory social security,General public administration activities,Female,3235,28100.0
3,Public administration and defence - compulsory social security,General public administration activities,Male,1675,29000.0
3,Public administration and defence - compulsory social security,"Regulation of health care, education, cultural and other social services, not incl. social security",Female,520,29600.0
3,Public administration and defence - compulsory social security,"Regulation of health care, education, cultural and other social services, not incl. social security",Male,265,29200.0
3,Public administration and defence - compulsory social security,Defence activities,Female,200,28500.0
3,Public administration and defence - compulsory social security,Defence activities,Male,280,29200.0
3,Public administration and defence - compulsory social security,Justice and judicial activities,Female,805,25200.0
3,Public administration and defence - compulsory social security,Justice and judicial activities,Male,280,25600.0
3,Public administration and defence - compulsory social security,Public order and safety activities,Female,1635,26600.0
3,Public administration and defence - compulsory social security,Public order and safety activities,Male,1080,27400.0
3,Public administration and defence - compulsory social security,Fire service activities,Female,45,24800.0
3,Public administration and defence - compulsory social security,Fire service activities,Male,70,27700.0
3,Public administration and defence - compulsory social security,Compulsory social security activities,Female,480,26600.0
3,Public administration and defence - compulsory social security,Compulsory social security activities,Male,315,26300.0
3,Real estate activities,Buying and selling of own real estate,Female,15,25200.0
3,Real estate activities,Buying and selling of own real estate,Male,15,17900.0
3,Real estate activities,Renting and operating of Housing Association real estate,Female,450,23700.0
3,Real estate activities,Renting and operating of Housing Association real estate,Male,215,26300.0
3,Real estate activities,Other letting and operating of own or leased real estate,Female,195,22600.0
3,Real estate activities,Other letting and operating of own or leased real estate,Male,200,24800.0
3,Real estate activities,Real estate agencies,Female,670,25900.0
3,Real estate activities,Real estate agencies,Male,610,29200.0
3,Real estate activities,Management of real estate on a fee or contract basis,Female,285,25900.0
3,Real estate activities,Management of real estate on a fee or contract basis,Male,245,30100.0
3,Transportation and storage,"Passenger rail transport, interurban",Female,70,30300.0
3,Transportation and storage,"Passenger rail transport, interurban",Male,105,33200.0
3,Transportation and storage,"Other urban, suburban or metropolitan passenger land transport (not underground, metro or similar)",Female,85,29200.0
3,Transportation and storage,"Other urban, suburban or metropolitan passenger land transport (not underground, metro or similar)",Male,185,30500.0
3,Transportation and storage,Taxi operation,Female,15,11700.0
3,Transportation and storage,Taxi operation,Male,20,18200.0
3,Transportation and storage,Other passenger land transport,Female,20,23500.0
3,Transportation and storage,Other passenger land transport,Male,25,26600.0
3,Transportation and storage,Freight transport by road,Female,135,23000.0
3,Transportation and storage,Freight transport by road,Male,220,24800.0
3,Transportation and storage,Scheduled passenger air transport,Female,155,22300.0
3,Transportation and storage,Scheduled passenger air transport,Male,150,34500.0
3,Transportation and storage,Operation of warehousing and storage facilities for land transport activities,Female,395,28100.0
3,Transportation and storage,Operation of warehousing and storage facilities for land transport activities,Male,570,27700.0
3,Transportation and storage,"Other service activities incidental to land transportation, n.e.c.",Female,120,25900.0
3,Transportation and storage,"Other service activities incidental to land transportation, n.e.c.",Male,235,29600.0
3,Transportation and storage,Service activities incidental to air transportation,Female,100,27600.0
3,Transportation and storage,Service activities incidental to air transportation,Male,95,31400.0
3,Transportation and storage,Other transportation support activities,Female,110,25900.0
3,Transportation and storage,Other transportation support activities,Male,190,27700.0
3,Transportation and storage,Postal activities under universal service obligation,Female,95,24500.0
3,Transportation and storage,Postal activities under universal service obligation,Male,150,26100.0
3,Transportation and storage,Unlicensed carrier,Female,105,25000.0
3,Transportation and storage,Unlicensed carrier,Male,210,28100.0
3,"Water supply - sewerage, waste management and remediation activities","Water collection, treatment and supply",Female,90,25600.0
3,"Water supply - sewerage, waste management and remediation activities","Water collection, treatment and supply",Male,125,28100.0
3,"Water supply - sewerage, waste management and remediation activities",Sewerage,Female,30,29200.0
3,"Water supply - sewerage, waste management and remediation activities",Sewerage,Male,40,29200.0
3,"Water supply - sewerage, waste management and remediation activities",Collection of non-hazardous waste,Female,55,24600.0
3,"Water supply - sewerage, waste management and remediation activities",Collection of non-hazardous waste,Male,85,25600.0
3,"Water supply - sewerage, waste management and remediation activities",Treatment and disposal of non-hazardous waste,Female,20,21900.0
3,"Water supply - sewerage, waste management and remediation activities",Treatment and disposal of non-hazardous waste,Male,30,27700.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Sale of new cars and light motor vehicles,Female,165,24800.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Sale of new cars and light motor vehicles,Male,210,29200.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Sale of used cars and light motor vehicles,Female,55,24200.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Sale of used cars and light motor vehicles,Male,100,27000.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,Female,65,23000.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,Male,115,24500.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale trade of motor vehicle parts and accessories,Female,40,22600.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale trade of motor vehicle parts and accessories,Male,90,28100.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Retail trade of motor vehicle parts and accessories,Female,30,21900.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Retail trade of motor vehicle parts and accessories,Male,60,21200.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",Female,30,23000.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",Male,20,22400.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Agents specialized in the sale of other particular products,Female,55,27000.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Agents specialized in the sale of other particular products,Male,35,27400.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",Female,15,25600.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",Male,15,27700.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of fruit and vegetables,Female,25,26300.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of fruit and vegetables,Male,35,25200.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Wholesale of wine, beer, spirits and other alcoholic beverages",Female,65,29000.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Wholesale of wine, beer, spirits and other alcoholic beverages",Male,45,29900.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of sugar and chocolate and sugar confectionery,Female,50,35400.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of sugar and chocolate and sugar confectionery,Male,35,34900.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Non-specialised wholesale of food, beverages and tobacco",Female,100,23700.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Non-specialised wholesale of food, beverages and tobacco",Male,130,23700.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of textiles,Female,50,24100.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of textiles,Male,20,20400.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of clothing and footwear,Female,305,23700.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of clothing and footwear,Male,105,23700.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Wholesale of audio tapes, records, CDs and video tapes and the equipment on which these are played",Female,30,24600.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Wholesale of audio tapes, records, CDs and video tapes and the equipment on which these are played",Male,40,26600.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Wholesale of radio, television goods & electrical household appliances (other than records, tapes, CD's & video tapes and the equipment used for playing them)",Female,65,25600.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Wholesale of radio, television goods & electrical household appliances (other than records, tapes, CD's & video tapes and the equipment used for playing them)",Male,65,27000.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of perfume and cosmetics,Female,230,25900.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of perfume and cosmetics,Male,60,34700.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of pharmaceutical goods,Female,285,31400.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of pharmaceutical goods,Male,200,33200.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Wholesale of furniture, carpets and lighting equipment",Female,65,25600.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Wholesale of furniture, carpets and lighting equipment",Male,35,25900.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of household goods (other than musical instruments) n.e.c.,Female,195,23700.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of household goods (other than musical instruments) n.e.c.,Male,140,24100.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Wholesale of computers, computer peripheral equipment and software",Female,110,30500.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Wholesale of computers, computer peripheral equipment and software",Male,275,35000.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of electronic and telecommunications equipment and parts,Female,50,25200.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of electronic and telecommunications equipment and parts,Male,100,27000.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of other office machinery and equipment,Female,20,21400.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of other office machinery and equipment,Male,15,26800.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of other machinery and equipment,Female,125,24100.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of other machinery and equipment,Male,255,27700.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of metals and metal ores,Female,20,24500.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of metals and metal ores,Male,40,28800.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Wholesale of wood, construction materials and sanitary equipment",Female,140,23900.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Wholesale of wood, construction materials and sanitary equipment",Male,190,25600.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Wholesale of hardware, plumbing and heating equipment and supplies",Female,50,23400.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Wholesale of hardware, plumbing and heating equipment and supplies",Male,85,26600.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of chemical products,Female,70,26500.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of chemical products,Male,55,26500.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of other intermediate products,Female,15,25400.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Wholesale of other intermediate products,Male,20,27400.0
3,Wholesale and retail trade - repair of motor vehicles and motorcycles,Non-specialised wholesale trade,Female,145,25200.0
